from,to,movers
Colorado,California,14784
Connecticut,California,3113
Delaware,California,772
District of Columbia ,California,4590
Florida,California,19149
Georgia,California,11229
Hawaii,California,8094
Idaho,California,2646
Illinois,California,21982
Indiana,California,4531
Iowa,California,4250
Kansas,California,3207
Kentucky,California,2308
Louisiana,California,4522
Maine,California,1003
Maryland,California,10107
Massachusetts,California,10101
Michigan,California,12054
Minnesota,California,2705
Mississippi,California,3133
Missouri,California,6400
Montana,California,656
Nebraska,California,2606
Nevada,California,22218
New Hampshire,California,1202
New Jersey,California,12458
New Mexico,California,4784
New York,California,35062
North Carolina,California,8924
North Dakota,California,10
Ohio,California,7434
Oklahoma,California,2541
Oregon,California,22162
Pennsylvania,California,8730
Rhode Island,California,1050
South Carolina,California,5346
South Dakota,California,629
Tennessee,California,5343
Texas,California,38732
Utah,California,10939
Vermont,California,1012
Virginia,California,15837
Washington,California,32218
West Virginia,California,1125
Wisconsin,California,2634
Wyoming,California,1166
Puerto Rico,California,1119
Alabama,Colorado,3745
Alaska,Colorado,1452
Arizona,Colorado,12378
Arkansas,Colorado,1435
California,Colorado,26148
Colorado,Colorado,
Connecticut,Colorado,1875
Delaware,Colorado,120
District of Columbia ,Colorado,1319
Florida,Colorado,12786
Georgia,Colorado,6522
Hawaii,Colorado,3347
Idaho,Colorado,3480
Illinois,Colorado,8941
Indiana,Colorado,2612
Iowa,Colorado,3407
Kansas,Colorado,4387
Kentucky,Colorado,1015
Louisiana,Colorado,2227
Maine,Colorado,628
Maryland,Colorado,3553
Massachusetts,Colorado,2885
Michigan,Colorado,2922
Minnesota,Colorado,3830
Mississippi,Colorado,590
Missouri,Colorado,4858
Montana,Colorado,2294
Nebraska,Colorado,4126
Nevada,Colorado,1896
New Hampshire,Colorado,252
New Jersey,Colorado,1154
New Mexico,Colorado,6030
New York,Colorado,6295
North Carolina,Colorado,10351
North Dakota,Colorado,582
Ohio,Colorado,6289
Oklahoma,Colorado,2980
Oregon,Colorado,3690
Pennsylvania,Colorado,5109
Rhode Island,Colorado,0
South Carolina,Colorado,1813
South Dakota,Colorado,1190
Tennessee,Colorado,4670
Texas,Colorado,32150
Utah,Colorado,4336
Vermont,Colorado,327
Virginia,Colorado,9719
Washington,Colorado,6010
West Virginia,Colorado,77
Wisconsin,Colorado,2698
Wyoming,Colorado,2163
Puerto Rico,Colorado,335
Alabama,Connecticut,788
Alaska,Connecticut,11
Arizona,Connecticut,657
Arkansas,Connecticut,80
California,Connecticut,4972
Colorado,Connecticut,591
Connecticut,Connecticut,
Delaware,Connecticut,32
District of Columbia ,Connecticut,327
Florida,Connecticut,7435
Georgia,Connecticut,2514
Hawaii,Connecticut,725
Idaho,Connecticut,0
Illinois,Connecticut,1522
Indiana,Connecticut,446
Iowa,Connecticut,0
Kansas,Connecticut,363
Kentucky,Connecticut,397
Louisiana,Connecticut,357
Maine,Connecticut,601
Maryland,Connecticut,1412
Massachusetts,Connecticut,13428
Michigan,Connecticut,975
Minnesota,Connecticut,681
Mississippi,Connecticut,364
Missouri,Connecticut,110
Montana,Connecticut,101
Nebraska,Connecticut,252
Nevada,Connecticut,781
New Hampshire,Connecticut,878
New Jersey,Connecticut,5379
New Mexico,Connecticut,53
New York,Connecticut,28181
North Carolina,Connecticut,1220
North Dakota,Connecticut,0
Ohio,Connecticut,414
Oklahoma,Connecticut,170
Oregon,Connecticut,0
Pennsylvania,Connecticut,4858
Rhode Island,Connecticut,4299
South Carolina,Connecticut,1146
South Dakota,Connecticut,0
Tennessee,Connecticut,2508
Texas,Connecticut,2678
Utah,Connecticut,84
Vermont,Connecticut,557
Virginia,Connecticut,1947
Washington,Connecticut,654
West Virginia,Connecticut,0
