from,to,movers
Hawaii,Maryland,1352
Idaho,Maryland,270
Illinois,Maryland,1213
Indiana,Maryland,1052
Iowa,Maryland,1054
Kansas,Maryland,217
Kentucky,Maryland,603
Louisiana,Maryland,486
Maine,Maryland,428
Maryland,Maryland,
Massachusetts,Maryland,4455
Michigan,Maryland,1079
Minnesota,Maryland,1073
Mississippi,Maryland,0
Missouri,Maryland,1221
Montana,Maryland,242
Nebraska,Maryland,16
Nevada,Maryland,147
New Hampshire,Maryland,368
New Jersey,Maryland,7170
New Mexico,Maryland,1401
New York,Maryland,14439
North Carolina,Maryland,6501
North Dakota,Maryland,0
Ohio,Maryland,5145
Oklahoma,Maryland,1204
Oregon,Maryland,913
Pennsylvania,Maryland,16851
Rhode Island,Maryland,1253
South Carolina,Maryland,3369
South Dakota,Maryland,0
Tennessee,Maryland,724
Texas,Maryland,5592
Utah,Maryland,1801
Vermont,Maryland,228
Virginia,Maryland,21670
Washington,Maryland,1526
West Virginia,Maryland,3739
Wisconsin,Maryland,0
Wyoming,Maryland,198
Puerto Rico,Maryland,231
Alabama,Massachusetts,97
Alaska,Massachusetts,0
Arizona,Massachusetts,1427
Arkansas,Massachusetts,50
California,Massachusetts,12160
Colorado,Massachusetts,2017
Connecticut,Massachusetts,10437
Delaware,Massachusetts,397
District of Columbia ,Massachusetts,2214
Florida,Massachusetts,12758
Georgia,Massachusetts,2897
Hawaii,Massachusetts,109
Idaho,Massachusetts,201
Illinois,Massachusetts,3187
Indiana,Massachusetts,1014
Iowa,Massachusetts,227
Kansas,Massachusetts,667
Kentucky,Massachusetts,0
Louisiana,Massachusetts,762
Maine,Massachusetts,2391
Maryland,Massachusetts,4214
Massachusetts,Massachusetts,
Michigan,Massachusetts,1209
Minnesota,Massachusetts,772
Mississippi,Massachusetts,96
Missouri,Massachusetts,703
Montana,Massachusetts,395
Nebraska,Massachusetts,125
Nevada,Massachusetts,1249
New Hampshire,Massachusetts,11508
New Jersey,Massachusetts,6272
New Mexico,Massachusetts,1123
New York,Massachusetts,16247
North Carolina,Massachusetts,5217
North Dakota,Massachusetts,0
Ohio,Massachusetts,3804
Oklahoma,Massachusetts,78
Oregon,Massachusetts,386
Pennsylvania,Massachusetts,9392
Rhode Island,Massachusetts,7264
South Carolina,Massachusetts,1367
South Dakota,Massachusetts,64
Tennessee,Massachusetts,3996
Texas,Massachusetts,6165
Utah,Massachusetts,380
Vermont,Massachusetts,1430
Virginia,Massachusetts,5186
Washington,Massachusetts,1523
West Virginia,Massachusetts,234
Wisconsin,Massachusetts,752
Wyoming,Massachusetts,858
Puerto Rico,Massachusetts,1605
Alabama,Michigan,718
Alaska,Michigan,119
Arizona,Michigan,4049
Arkansas,Michigan,603
California,Michigan,9765
Colorado,Michigan,3698
Connecticut,Michigan,1192
Delaware,Michigan,0
District of Columbia ,Michigan,262
Florida,Michigan,14236
Georgia,Michigan,3394
Hawaii,Michigan,780
Idaho,Michigan,658
Illinois,Michigan,11766
Indiana,Michigan,11338
Iowa,Michigan,719
Kansas,Michigan,1077
Kentucky,Michigan,2013
Louisiana,Michigan,1759
Maine,Michigan,270
Maryland,Michigan,1565
Massachusetts,Michigan,989
Michigan,Michigan,
Minnesota,Michigan,1388
Mississippi,Michigan,395
Missouri,Michigan,1956
Montana,Michigan,301
Nebraska,Michigan,176
Nevada,Michigan,1412
New Hampshire,Michigan,404
New Jersey,Michigan,2352
New Mexico,Michigan,1056
New York,Michigan,4383
North Carolina,Michigan,4514
North Dakota,Michigan,444
Ohio,Michigan,8851
Oklahoma,Michigan,1881
Oregon,Michigan,2051
Pennsylvania,Michigan,3835
Rhode Island,Michigan,0
South Carolina,Michigan,1608
South Dakota,Michigan,869
Tennessee,Michigan,2693
Texas,Michigan,10011
Utah,Michigan,1610
Vermont,Michigan,218
Virginia,Michigan,2521
Washington,Michigan,3409
West Virginia,Michigan,517
Wisconsin,Michigan,5261
Wyoming,Michigan,29
Puerto Rico,Michigan,349
Alabama,Minnesota,404
Alaska,Minnesota,832
Arizona,Minnesota,4770
Arkansas,Minnesota,920
California,Minnesota,4505
Colorado,Minnesota,3884
Connecticut,Minnesota,794
Delaware,Minnesota,72
District of Columbia ,Minnesota,687
Florida,Minnesota,5844
Georgia,Minnesota,1898
Hawaii,Minnesota,531
Idaho,Minnesota,450
Illinois,Minnesota,6089
Indiana,Minnesota,1370
Iowa,Minnesota,5689
Kansas,Minnesota,1436
Kentucky,Minnesota,1142
Louisiana,Minnesota,221
Maine,Minnesota,19
Maryland,Minnesota,716
Massachusetts,Minnesota,952
Michigan,Minnesota,2884
Minnesota,Minnesota,
Mississippi,Minnesota,416
Missouri,Minnesota,1950
Montana,Minnesota,537
Nebraska,Minnesota,2343
Nevada,Minnesota,443
New Hampshire,Minnesota,352
New Jersey,Minnesota,299
New Mexico,Minnesota,832
New York,Minnesota,1502
North Carolina,Minnesota,1350
North Dakota,Minnesota,6062
Ohio,Minnesota,1063
Oklahoma,Minnesota,842
Oregon,Minnesota,2320
Pennsylvania,Minnesota,1702
Rhode Island,Minnesota,381
South Carolina,Minnesota,733
South Dakota,Minnesota,2867
Tennessee,Minnesota,1309
Texas,Minnesota,4400
Utah,Minnesota,862
Vermont,Minnesota,0
Virginia,Minnesota,1716
Washington,Minnesota,3400
West Virginia,Minnesota,158
Wisconsin,Minnesota,15404
Wyoming,Minnesota,925
Puerto Rico,Minnesota,503
Alabama,Mississippi,6151
Alaska,Mississippi,223
Arizona,Mississippi,1356
Arkansas,Mississippi,1451
California,Mississippi,2921
Colorado,Mississippi,106
Connecticut,Mississippi,99
Delaware,Mississippi,611
District of Columbia ,Mississippi,0
Florida,Mississippi,5839
Georgia,Mississippi,4016
Hawaii,Mississippi,260
Idaho,Mississippi,394
Illinois,Mississippi,1365
Indiana,Mississippi,426
Iowa,Mississippi,1090
Kansas,Mississippi,49
Kentucky,Mississippi,938
Louisiana,Mississippi,4518
Maine,Mississippi,89
Maryland,Mississippi,330
Massachusetts,Mississippi,478
Michigan,Mississippi,181
Minnesota,Mississippi,0
Mississippi,Mississippi,
Missouri,Mississippi,855
Montana,Mississippi,0
Nebraska,Mississippi,1199
Nevada,Mississippi,1168
New Hampshire,Mississippi,0
New Jersey,Mississippi,288
New Mexico,Mississippi,0
New York,Mississippi,467
North Carolina,Mississippi,1717
North Dakota,Mississippi,0
Ohio,Mississippi,1021
Oklahoma,Mississippi,0
Oregon,Mississippi,124
Pennsylvania,Mississippi,402
Rhode Island,Mississippi,0
South Carolina,Mississippi,985
South Dakota,Mississippi,89
Tennessee,Mississippi,13818
Texas,Mississippi,6880
Utah,Mississippi,0
Vermont,Mississippi,0
Virginia,Mississippi,1028
Washington,Mississippi,1135
West Virginia,Mississippi,0
Wisconsin,Mississippi,543
Wyoming,Mississippi,0
Puerto Rico,Mississippi,126
Alabama,Missouri,852
Alaska,Missouri,676
Arizona,Missouri,5699
Arkansas,Missouri,7548
California,Missouri,8146
Colorado,Missouri,5846
Connecticut,Missouri,667
Delaware,Missouri,189
District of Columbia ,Missouri,57
Florida,Missouri,5471
Georgia,Missouri,5555
Hawaii,Missouri,643
Idaho,Missouri,780
Illinois,Missouri,15326
Indiana,Missouri,3104
Iowa,Missouri,4155
Kansas,Missouri,20692
Kentucky,Missouri,2603
Louisiana,Missouri,1978
Maine,Missouri,148
Maryland,Missouri,960
Massachusetts,Missouri,596
Michigan,Missouri,1714
Minnesota,Missouri,1701
Mississippi,Missouri,1600
Missouri,Missouri,
Montana,Missouri,579
Nebraska,Missouri,636
Nevada,Missouri,1656
New Hampshire,Missouri,214
New Jersey,Missouri,488
New Mexico,Missouri,969
New York,Missouri,3534
North Carolina,Missouri,3214
North Dakota,Missouri,398
Ohio,Missouri,2885
Oklahoma,Missouri,4633
Oregon,Missouri,687
Pennsylvania,Missouri,3178
Rhode Island,Missouri,256
South Carolina,Missouri,1226
South Dakota,Missouri,429
Tennessee,Missouri,4548
Texas,Missouri,9322
Utah,Missouri,1901
Vermont,Missouri,104
Virginia,Missouri,2006
Washington,Missouri,1615
West Virginia,Missouri,89
Wisconsin,Missouri,1455
Wyoming,Missouri,960
Puerto Rico,Missouri,763
Alabama,Montana,73
Alaska,Montana,549
Arizona,Montana,823
Arkansas,Montana,416
California,Montana,5577
Colorado,Montana,2118
Connecticut,Montana,0
Delaware,Montana,0
District of Columbia ,Montana,31
Florida,Montana,628
Georgia,Montana,460
Hawaii,Montana,90
Idaho,Montana,2361
Illinois,Montana,539
Indiana,Montana,23
Iowa,Montana,438
Kansas,Montana,232
Kentucky,Montana,218
Louisiana,Montana,5
Maine,Montana,431
Maryland,Montana,189
Massachusetts,Montana,111
Michigan,Montana,322
Minnesota,Montana,1439
Mississippi,Montana,36
Missouri,Montana,36
Montana,Montana,
Nebraska,Montana,620
Nevada,Montana,531
New Hampshire,Montana,31
New Jersey,Montana,51
New Mexico,Montana,649
New York,Montana,58
North Carolina,Montana,0
North Dakota,Montana,799
Ohio,Montana,79
Oklahoma,Montana,257
Oregon,Montana,2713
Pennsylvania,Montana,847
Rhode Island,Montana,0
South Carolina,Montana,797
South Dakota,Montana,135
Tennessee,Montana,79
Texas,Montana,2417
Utah,Montana,2246
Vermont,Montana,143
Virginia,Montana,678
Washington,Montana,5214
West Virginia,Montana,0
Wisconsin,Montana,158
Wyoming,Montana,1128
Puerto Rico,Montana,0
Alabama,Nebraska,666
Alaska,Nebraska,107
Arizona,Nebraska,1367
Arkansas,Nebraska,937
California,Nebraska,1904
Colorado,Nebraska,5254
Connecticut,Nebraska,0
Delaware,Nebraska,0
District of Columbia ,Nebraska,51
Florida,Nebraska,2296
Georgia,Nebraska,955
Hawaii,Nebraska,162
Idaho,Nebraska,1128
Illinois,Nebraska,2336
Indiana,Nebraska,867
Iowa,Nebraska,4860
Kansas,Nebraska,2179
Kentucky,Nebraska,370
Louisiana,Nebraska,114
Maine,Nebraska,0
Maryland,Nebraska,371
Massachusetts,Nebraska,80
Michigan,Nebraska,454
Minnesota,Nebraska,1233
Mississippi,Nebraska,32
Missouri,Nebraska,2886
Montana,Nebraska,250
Nebraska,Nebraska,
Nevada,Nebraska,560
New Hampshire,Nebraska,493
New Jersey,Nebraska,49
New Mexico,Nebraska,1007
New York,Nebraska,711
North Carolina,Nebraska,943
North Dakota,Nebraska,445
Ohio,Nebraska,841
Oklahoma,Nebraska,225
Oregon,Nebraska,162
Pennsylvania,Nebraska,954
Rhode Island,Nebraska,0
South Carolina,Nebraska,445
South Dakota,Nebraska,2767
Tennessee,Nebraska,373
Texas,Nebraska,2475
Utah,Nebraska,301
Vermont,Nebraska,0
Virginia,Nebraska,2977
Washington,Nebraska,825
West Virginia,Nebraska,0
Wisconsin,Nebraska,438
Wyoming,Nebraska,740
Puerto Rico,Nebraska,48
Alabama,Nevada,218
Alaska,Nevada,1565
Arizona,Nevada,7972
Arkansas,Nevada,835
California,Nevada,41997
Colorado,Nevada,8064
Connecticut,Nevada,642
Delaware,Nevada,102
District of Columbia ,Nevada,63
Florida,Nevada,5935
Georgia,Nevada,997
Hawaii,Nevada,4441
Idaho,Nevada,2057
Illinois,Nevada,970
Indiana,Nevada,292
Iowa,Nevada,288
Kansas,Nevada,639
Kentucky,Nevada,188
Louisiana,Nevada,1157
Maine,Nevada,0
Maryland,Nevada,633
Massachusetts,Nevada,767
Michigan,Nevada,1035
Minnesota,Nevada,743
Mississippi,Nevada,252
Missouri,Nevada,891
Montana,Nevada,820
Nebraska,Nevada,886
Nevada,Nevada,
New Hampshire,Nevada,155
New Jersey,Nevada,1077
New Mexico,Nevada,1666
New York,Nevada,2582
North Carolina,Nevada,1072
North Dakota,Nevada,197
Ohio,Nevada,3475
Oklahoma,Nevada,1672
Oregon,Nevada,3604
Pennsylvania,Nevada,1868
Rhode Island,Nevada,0
South Carolina,Nevada,1233
South Dakota,Nevada,30
Tennessee,Nevada,600
Texas,Nevada,5939
Utah,Nevada,3776
Vermont,Nevada,54
Virginia,Nevada,2246
Washington,Nevada,5516
West Virginia,Nevada,0
Wisconsin,Nevada,853
Wyoming,Nevada,155
Puerto Rico,Nevada,154
Alabama,New Hampshire,1530
Alaska,New Hampshire,103
Arizona,New Hampshire,702
Arkansas,New Hampshire,0
California,New Hampshire,1718
Colorado,New Hampshire,543
Connecticut,New Hampshire,1776
Delaware,New Hampshire,0
District of Columbia ,New Hampshire,80
Florida,New Hampshire,1320
Georgia,New Hampshire,321
Hawaii,New Hampshire,0
Idaho,New Hampshire,583
Illinois,New Hampshire,95
Indiana,New Hampshire,103
Iowa,New Hampshire,283
Kansas,New Hampshire,118
Kentucky,New Hampshire,0
Louisiana,New Hampshire,564
Maine,New Hampshire,1604
Maryland,New Hampshire,705
Massachusetts,New Hampshire,16362
Michigan,New Hampshire,136
Minnesota,New Hampshire,115
Mississippi,New Hampshire,477
Missouri,New Hampshire,0
Montana,New Hampshire,0
Nebraska,New Hampshire,0
Nevada,New Hampshire,35
New Hampshire,New Hampshire,
New Jersey,New Hampshire,395
New Mexico,New Hampshire,346
New York,New Hampshire,1777
North Carolina,New Hampshire,273
North Dakota,New Hampshire,0
Ohio,New Hampshire,127
Oklahoma,New Hampshire,371
Oregon,New Hampshire,0
Pennsylvania,New Hampshire,1914
Rhode Island,New Hampshire,333
South Carolina,New Hampshire,61
South Dakota,New Hampshire,0
Tennessee,New Hampshire,586
Texas,New Hampshire,1473
Utah,New Hampshire,560
Vermont,New Hampshire,1890
Virginia,New Hampshire,201
Washington,New Hampshire,110
West Virginia,New Hampshire,0
Wisconsin,New Hampshire,5
Wyoming,New Hampshire,0
Puerto Rico,New Hampshire,84
Alabama,New Jersey,178
Alaska,New Jersey,54
Arizona,New Jersey,1140
Arkansas,New Jersey,165
California,New Jersey,9431
Colorado,New Jersey,2332
Connecticut,New Jersey,2483
Delaware,New Jersey,1291
District of Columbia ,New Jersey,639
Florida,New Jersey,9635
Georgia,New Jersey,1865
Hawaii,New Jersey,820
Idaho,New Jersey,29
Illinois,New Jersey,3183
Indiana,New Jersey,1114
Iowa,New Jersey,42
Kansas,New Jersey,442
Kentucky,New Jersey,284
Louisiana,New Jersey,935
Maine,New Jersey,418
Maryland,New Jersey,3877
Massachusetts,New Jersey,4851
Michigan,New Jersey,679
Minnesota,New Jersey,354
Mississippi,New Jersey,80
Missouri,New Jersey,1217
Montana,New Jersey,114
Nebraska,New Jersey,12
Nevada,New Jersey,200
New Hampshire,New Jersey,102
New Jersey,New Jersey,
New Mexico,New Jersey,187
New York,New Jersey,55926
North Carolina,New Jersey,3461
North Dakota,New Jersey,465
Ohio,New Jersey,1267
Oklahoma,New Jersey,906
Oregon,New Jersey,723
Pennsylvania,New Jersey,29564
Rhode Island,New Jersey,660
South Carolina,New Jersey,2619
South Dakota,New Jersey,0
Tennessee,New Jersey,611
Texas,New Jersey,4360
Utah,New Jersey,901
Vermont,New Jersey,302
Virginia,New Jersey,3918
Washington,New Jersey,1456
West Virginia,New Jersey,704
Wisconsin,New Jersey,194
Wyoming,New Jersey,145
Puerto Rico,New Jersey,662
Alabama,New Mexico,837
Alaska,New Mexico,345
Arizona,New Mexico,3535
Arkansas,New Mexico,477
California,New Mexico,8126
Colorado,New Mexico,5853
Connecticut,New Mexico,305
Delaware,New Mexico,0
District of Columbia ,New Mexico,1261
Florida,New Mexico,1207
Georgia,New Mexico,1110
Hawaii,New Mexico,449
Idaho,New Mexico,1510
Illinois,New Mexico,1129
Indiana,New Mexico,81
Iowa,New Mexico,276
Kansas,New Mexico,1500
Kentucky,New Mexico,181
Louisiana,New Mexico,1443
Maine,New Mexico,106
Maryland,New Mexico,14
Massachusetts,New Mexico,577
Michigan,New Mexico,1383
Minnesota,New Mexico,275
Mississippi,New Mexico,4
Missouri,New Mexico,501
Montana,New Mexico,1146
Nebraska,New Mexico,325
Nevada,New Mexico,1243
New Hampshire,New Mexico,62
New Jersey,New Mexico,641
New Mexico,New Mexico,
New York,New Mexico,184
North Carolina,New Mexico,522
North Dakota,New Mexico,362
Ohio,New Mexico,1216
Oklahoma,New Mexico,296
Oregon,New Mexico,733
Pennsylvania,New Mexico,678
Rhode Island,New Mexico,0
South Carolina,New Mexico,627
South Dakota,New Mexico,323
Tennessee,New Mexico,523
Texas,New Mexico,16975
Utah,New Mexico,1701
Vermont,New Mexico,0
Virginia,New Mexico,530
Washington,New Mexico,3591
West Virginia,New Mexico,0
Wisconsin,New Mexico,304
Wyoming,New Mexico,206
Puerto Rico,New Mexico,0
Alabama,New York,1389
Alaska,New York,445
Arizona,New York,3934
Arkansas,New York,649
California,New York,31097
Colorado,New York,5110
Connecticut,New York,15165
Delaware,New York,1867
District of Columbia ,New York,3271
Florida,New York,24749
Georgia,New York,8013
Hawaii,New York,1615
Idaho,New York,214
Illinois,New York,8628
Indiana,New York,1347
Iowa,New York,1184
Kansas,New York,2816
Kentucky,New York,2678
Louisiana,New York,1574
Maine,New York,3190
Maryland,New York,8119
Massachusetts,New York,21001
Michigan,New York,2606
Minnesota,New York,1321
Mississippi,New York,503
Missouri,New York,1433
Montana,New York,660
Nebraska,New York,432
Nevada,New York,1844
New Hampshire,New York,1859
New Jersey,New York,40474
New Mexico,New York,840
New York,New York,
North Carolina,New York,9000
North Dakota,New York,18
Ohio,New York,7648
Oklahoma,New York,458
Oregon,New York,1157
Pennsylvania,New York,27603
Rhode Island,New York,2073
South Carolina,New York,3192
South Dakota,New York,100
Tennessee,New York,4360
Texas,New York,18956
Utah,New York,3081
Vermont,New York,3926
Virginia,New York,11930
Washington,New York,6261
West Virginia,New York,507
Wisconsin,New York,2217
Wyoming,New York,321
Puerto Rico,New York,3539
Alabama,North Carolina,5582
Alaska,North Carolina,606
Arizona,North Carolina,6443
Arkansas,North Carolina,891
California,North Carolina,21084
Colorado,North Carolina,4393
Connecticut,North Carolina,4284
Delaware,North Carolina,1745
District of Columbia ,North Carolina,862
Florida,North Carolina,39931
Georgia,North Carolina,23519
Hawaii,North Carolina,1927
Idaho,North Carolina,1425
Illinois,North Carolina,5380
Indiana,North Carolina,2819
Iowa,North Carolina,2629
Kansas,North Carolina,4842
Kentucky,North Carolina,4783
Louisiana,North Carolina,3978
Maine,North Carolina,1575
Maryland,North Carolina,12649
Massachusetts,North Carolina,8935
Michigan,North Carolina,5380
Minnesota,North Carolina,3030
Mississippi,North Carolina,881
Missouri,North Carolina,2914
Montana,North Carolina,1227
Nebraska,North Carolina,678
Nevada,North Carolina,1907
New Hampshire,North Carolina,1347
New Jersey,North Carolina,9290
New Mexico,North Carolina,1152
New York,North Carolina,29175
North Carolina,North Carolina,
North Dakota,North Carolina,28
Ohio,North Carolina,5637
Oklahoma,North Carolina,1886
Oregon,North Carolina,1467
Pennsylvania,North Carolina,13040
Rhode Island,North Carolina,1154
South Carolina,North Carolina,31358
South Dakota,North Carolina,659
Tennessee,North Carolina,7905
Texas,North Carolina,17335
Utah,North Carolina,3032
Vermont,North Carolina,796
Virginia,North Carolina,25555
Washington,North Carolina,4976
West Virginia,North Carolina,2038
Wisconsin,North Carolina,5106
Wyoming,North Carolina,20
Puerto Rico,North Carolina,496
Alabama,North Dakota,1019
Alaska,North Dakota,252
Arizona,North Dakota,1325
Arkansas,North Dakota,0
California,North Dakota,1158
Colorado,North Dakota,1389
Connecticut,North Dakota,0
Delaware,North Dakota,0
District of Columbia ,North Dakota,0
Florida,North Dakota,1775
Georgia,North Dakota,264
Hawaii,North Dakota,0
Idaho,North Dakota,134
Illinois,North Dakota,2370
Indiana,North Dakota,0
Iowa,North Dakota,317
Kansas,North Dakota,480
Kentucky,North Dakota,0
Louisiana,North Dakota,11
Maine,North Dakota,0
Maryland,North Dakota,440
Massachusetts,North Dakota,0
Michigan,North Dakota,147
Minnesota,North Dakota,11738
Mississippi,North Dakota,182
Missouri,North Dakota,284
Montana,North Dakota,2032
Nebraska,North Dakota,185
Nevada,North Dakota,376
New Hampshire,North Dakota,0
New Jersey,North Dakota,307
New Mexico,North Dakota,415
New York,North Dakota,572
North Carolina,North Dakota,47
North Dakota,North Dakota,
Ohio,North Dakota,89
Oklahoma,North Dakota,69
Oregon,North Dakota,229
Pennsylvania,North Dakota,516
Rhode Island,North Dakota,124
South Carolina,North Dakota,0
South Dakota,North Dakota,2238
Tennessee,North Dakota,431
Texas,North Dakota,1823
Utah,North Dakota,750
Vermont,North Dakota,0
Virginia,North Dakota,0
Washington,North Dakota,492
West Virginia,North Dakota,0
Wisconsin,North Dakota,302
Wyoming,North Dakota,133
Puerto Rico,North Dakota,30
Alabama,Ohio,1421
Alaska,Ohio,547
Arizona,Ohio,4352
Arkansas,Ohio,929
California,Ohio,12197
Colorado,Ohio,3393
Connecticut,Ohio,1361
Delaware,Ohio,65
District of Columbia ,Ohio,388
Florida,Ohio,18740
Georgia,Ohio,6616
Hawaii,Ohio,330
Idaho,Ohio,194
Illinois,Ohio,5652
Indiana,Ohio,12068
Iowa,Ohio,1051
Kansas,Ohio,1545
Kentucky,Ohio,11176
Louisiana,Ohio,2475
Maine,Ohio,499
Maryland,Ohio,3200
Massachusetts,Ohio,2324
Michigan,Ohio,15795
Minnesota,Ohio,681
Mississippi,Ohio,838
Missouri,Ohio,1600
Montana,Ohio,258
Nebraska,Ohio,951
Nevada,Ohio,712
New Hampshire,Ohio,425
New Jersey,Ohio,3521
New Mexico,Ohio,704
New York,Ohio,6238
North Carolina,Ohio,6930
North Dakota,Ohio,432
Ohio,Ohio,
Oklahoma,Ohio,1731
Oregon,Ohio,1471
Pennsylvania,Ohio,12809
Rhode Island,Ohio,26
South Carolina,Ohio,3647
South Dakota,Ohio,478
Tennessee,Ohio,4671
Texas,Ohio,8647
Utah,Ohio,551
Vermont,Ohio,19
Virginia,Ohio,6598
Washington,Ohio,4239
West Virginia,Ohio,7856
Wisconsin,Ohio,2816
Wyoming,Ohio,174
Puerto Rico,Ohio,1521
Alabama,Oklahoma,860
Alaska,Oklahoma,156
Arizona,Oklahoma,3093
Arkansas,Oklahoma,5286
California,Oklahoma,10940
Colorado,Oklahoma,6786
Connecticut,Oklahoma,346
Delaware,Oklahoma,176
District of Columbia ,Oklahoma,105
Florida,Oklahoma,3830
Georgia,Oklahoma,1796
Hawaii,Oklahoma,647
Idaho,Oklahoma,1211
Illinois,Oklahoma,1603
Indiana,Oklahoma,1572
Iowa,Oklahoma,405
Kansas,Oklahoma,4908
Kentucky,Oklahoma,1837
Louisiana,Oklahoma,1031
Maine,Oklahoma,0
Maryland,Oklahoma,1064
Massachusetts,Oklahoma,413
Michigan,Oklahoma,2153
Minnesota,Oklahoma,250
Mississippi,Oklahoma,931
Missouri,Oklahoma,2695
Montana,Oklahoma,475
Nebraska,Oklahoma,1035
Nevada,Oklahoma,678
New Hampshire,Oklahoma,211
New Jersey,Oklahoma,561
New Mexico,Oklahoma,1097
New York,Oklahoma,3401
North Carolina,Oklahoma,843
North Dakota,Oklahoma,85
Ohio,Oklahoma,1261
Oklahoma,Oklahoma,
Oregon,Oklahoma,710
Pennsylvania,Oklahoma,901
Rhode Island,Oklahoma,50
South Carolina,Oklahoma,1013
South Dakota,Oklahoma,971
Tennessee,Oklahoma,1092
Texas,Oklahoma,31506
Utah,Oklahoma,768
Vermont,Oklahoma,120
Virginia,Oklahoma,3431
Washington,Oklahoma,2329
West Virginia,Oklahoma,0
Wisconsin,Oklahoma,934
Wyoming,Oklahoma,113
Puerto Rico,Oklahoma,313
Alabama,Oregon,642
Alaska,Oregon,3236
Arizona,Oregon,7144
Arkansas,Oregon,292
California,Oregon,33807
Colorado,Oregon,6038
Connecticut,Oregon,605
Delaware,Oregon,0
District of Columbia ,Oregon,944
Florida,Oregon,2265
Georgia,Oregon,1774
Hawaii,Oregon,2050
Idaho,Oregon,4122
Illinois,Oregon,1754
Indiana,Oregon,2151
Iowa,Oregon,17
Kansas,Oregon,1335
Kentucky,Oregon,173
Louisiana,Oregon,709
Maine,Oregon,0
Maryland,Oregon,260
Massachusetts,Oregon,2298
Michigan,Oregon,428
Minnesota,Oregon,255
Mississippi,Oregon,0
Missouri,Oregon,696
Montana,Oregon,3017
Nebraska,Oregon,226
Nevada,Oregon,3051
New Hampshire,Oregon,0
New Jersey,Oregon,345
New Mexico,Oregon,398
New York,Oregon,3818
North Carolina,Oregon,1607
North Dakota,Oregon,78
Ohio,Oregon,2217
Oklahoma,Oregon,680
Oregon,Oregon,
Pennsylvania,Oregon,927
Rhode Island,Oregon,230
South Carolina,Oregon,414
South Dakota,Oregon,188
Tennessee,Oregon,1088
Texas,Oregon,3766
Utah,Oregon,5690
Vermont,Oregon,57
Virginia,Oregon,998
Washington,Oregon,22169
West Virginia,Oregon,0
Wisconsin,Oregon,1036
Wyoming,Oregon,251
Puerto Rico,Oregon,214
Alabama,Pennsylvania,1733
Alaska,Pennsylvania,595
Arizona,Pennsylvania,3773
Arkansas,Pennsylvania,776
California,Pennsylvania,11590
Colorado,Pennsylvania,3234
Connecticut,Pennsylvania,3619
Delaware,Pennsylvania,6612
District of Columbia ,Pennsylvania,1208
Florida,Pennsylvania,13412
Georgia,Pennsylvania,3768
Hawaii,Pennsylvania,728
Idaho,Pennsylvania,629
Illinois,Pennsylvania,4430
Indiana,Pennsylvania,3419
Iowa,Pennsylvania,370
Kansas,Pennsylvania,1129
Kentucky,Pennsylvania,1266
Louisiana,Pennsylvania,410
Maine,Pennsylvania,1187
Maryland,Pennsylvania,20654
Massachusetts,Pennsylvania,6379
Michigan,Pennsylvania,1856
Minnesota,Pennsylvania,1012
Mississippi,Pennsylvania,878
Missouri,Pennsylvania,1164
Montana,Pennsylvania,338
Nebraska,Pennsylvania,445
Nevada,Pennsylvania,1548
New Hampshire,Pennsylvania,665
New Jersey,Pennsylvania,41215
New Mexico,Pennsylvania,370
New York,Pennsylvania,42637
North Carolina,Pennsylvania,5741
North Dakota,Pennsylvania,30
Ohio,Pennsylvania,11277
Oklahoma,Pennsylvania,533
Oregon,Pennsylvania,1150
Pennsylvania,Pennsylvania,
Rhode Island,Pennsylvania,1005
South Carolina,Pennsylvania,2807
South Dakota,Pennsylvania,782
Tennessee,Pennsylvania,2617
Texas,Pennsylvania,11680
Utah,Pennsylvania,665
Vermont,Pennsylvania,494
Virginia,Pennsylvania,10019
Washington,Pennsylvania,2624
West Virginia,Pennsylvania,1879
Wisconsin,Pennsylvania,718
Wyoming,Pennsylvania,456
Puerto Rico,Pennsylvania,3091
Alabama,Rhode Island,0
Alaska,Rhode Island,74
Arizona,Rhode Island,79
Arkansas,Rhode Island,0
California,Rhode Island,2008
Colorado,Rhode Island,484
Connecticut,Rhode Island,1324
Delaware,Rhode Island,0
District of Columbia ,Rhode Island,720
Florida,Rhode Island,3277
Georgia,Rhode Island,665
Hawaii,Rhode Island,326
Idaho,Rhode Island,0
Illinois,Rhode Island,904
Indiana,Rhode Island,129
Iowa,Rhode Island,144
Kansas,Rhode Island,98
Kentucky,Rhode Island,158
Louisiana,Rhode Island,1226
Maine,Rhode Island,145
Maryland,Rhode Island,688
Massachusetts,Rhode Island,9208
Michigan,Rhode Island,535
Minnesota,Rhode Island,141
Mississippi,Rhode Island,185
Missouri,Rhode Island,11
Montana,Rhode Island,0
Nebraska,Rhode Island,0
Nevada,Rhode Island,0
New Hampshire,Rhode Island,535
New Jersey,Rhode Island,1126
New Mexico,Rhode Island,0
New York,Rhode Island,2089
North Carolina,Rhode Island,513
North Dakota,Rhode Island,0
Ohio,Rhode Island,146
Oklahoma,Rhode Island,87
Oregon,Rhode Island,243
Pennsylvania,Rhode Island,1192
Rhode Island,Rhode Island,
South Carolina,Rhode Island,393
South Dakota,Rhode Island,0
Tennessee,Rhode Island,485
Texas,Rhode Island,761
Utah,Rhode Island,0
Vermont,Rhode Island,55
Virginia,Rhode Island,1068
